Title,Imdb,Runtime,Year,Director,Platform,Genre
Peppermint,6.5,1h 42min,2018,Pierre Morel,Netflix,"Action & Adventure, Mystery & Thriller, Crime, Drama"
Royalteen,5.3,1h 47min,2022,Per-Olav Sørensen,Netflix,"Drama, Romance"
18 Pages,7.1,2h 17min,2022,Palnati Surya Pratap,Netflix,Romance
F*ck Love Too,3.8,1h 32min,2022,Aram van de Rest,Netflix,"Romance, Comedy"
Operation Mincemeat,6.6,2h 8min,2022,John Madden,Netflix,"Drama, War & Military"
Barefoot,6.6,1h 30min,2014,Andrew Fleming,Netflix,"Comedy, Drama, Romance"
The Substitute,6.4,1h 51min,2022,Diego Lerman,Netflix,"Drama, Crime, Mystery & Thriller, Western"
Wild Is the Wind,5.5,2h 3min,2022,Fabian Medea,Netflix,"Drama, Crime"
Britney vs. Spears,6.4,1h 33min,2021,Erin Lee Carr,Netflix,"Documentary, Music & Musical"
Against the Ice,6.5,1h 42min,2022,Peter Flinth,Netflix,"Drama, History"
Bank Robbers: The Last Great Heist,7.1,1h 49min,2022,Matías Gueilburt,Netflix,"Documentary, Crime"
Untold: The Race of the Century,7.3,1h 23min,2022,Chapman Way,Netflix,"Documentary, Sport"
Farha,8.2,1h 32min,2022,Darin J. Sallam,Netflix,Drama
The Railway Man,7.1,1h 52min,2013,Jonathan Teplitzky,Netflix,"Drama, Made in Europe, Romance, War & Military"
Carnaval,4.0,1h 34min,2021,Leandro Neri,Netflix,Comedy
The Speed Cubers,6.196438356164386,40min,2020,Sue Kim,Netflix,Documentary
Hold Your Breath: The Ice Dive,6.196438356164386,40min,2022,Ian Derry,Netflix,Documentary
Doom of Love,4.9,1h 40min,2022,Hilal Saral,Netflix,"Drama, Romance"
Circus of Books,7.1,1h 32min,2019,Rachel Mason,Netflix,"Documentary, History"
David Spade: Nothing Personal,5.8,1h 6min,2022,Ryan Polito,Netflix,"Comedy, Documentary"
Hasan Minhaj: The King's Jester,7.7,1h 0min,2022,Prashanth Venkataramanujam,Netflix,"Comedy, Documentary"
R.I.P.D.,5.6,1h 36min,2013,Robert Schwentke,Netflix,"Fantasy, Action & Adventure, Comedy, Crime, Science-Fiction"
Esposa de Aluguel,6.196438356164386,1h 47min,2022,Cris D'amato,Netflix,"Comedy, Romance"
Memories of a Murderer: The Nilsen Tapes,6.3,1h 24min,2021,Michael Harte,Netflix,"Documentary, Crime"
Love & Gelato,5.1,1h 51min,2022,Brandon Camp,Netflix,"Drama, Romance, Comedy"
